iter	Passed	Remaining
0	214	858343
1	372	743641
2	556	741228
3	673	673046
4	854	682871
5	1044	694959
6	1144	652820
7	1254	626097
8	1424	631858
9	1608	641690
10	1745	633010
11	2062	685541
12	2306	707415
13	2567	731081
14	2690	714907
15	2878	716848
16	2979	698000
17	3093	684331
18	3152	660433
19	3322	661091
20	3467	656962
21	3580	647410
22	3721	643541
23	3906	647119
24	4040	642515
25	4184	639551
26	4282	630090
27	4376	620769
28	4526	619842
29	4613	610519
30	4795	614028
31	4958	614912
32	5145	618516
33	5299	618114
34	5465	619189
35	5627	619685
36	5745	615423
37	5851	610094
38	6033	612795
39	6202	614087
40	6284	606805
41	6493	611942
42	6618	609095
43	6723	604540
44	6842	601383
45	6956	597997
46	7009	589557
47	7136	587603
48	7195	580187
49	7356	581134
50	7423	574821
51	7501	569572
52	7667	571030
53	7837	572720
54	8011	574629
55	8091	569896
56	8223	568840
57	8369	568843
58	8479	566402
59	8554	561729
60	8713	562643
61	8803	559191
62	8860	553731
63	9034	555628
64	9150	553950
65	9315	555243
66	9505	557992
67	9691	560382
68	9890	563469
69	10064	565074
70	10153	561886
71	10314	562686
72	10485	564045
73	10664	565787
74	10828	566715
75	10925	564083
76	11062	563589
77	11176	561955
78	11259	558847
79	11455	561330
80	11619	562171
81	11789	563313
82	11993	566021
83	12109	564543
84	12183	561143
85	12401	564391
86	12448	559903
87	12651	562407
88	12865	565344
89	12977	563805
90	13131	564059
91	13360	567512
92	13559	569630
93	13630	566385
94	13743	564932
95	13919	566055
96	13993	563054
97	14162	563894
98	14318	564190
99	14513	566033
100	14620	564412
101	14742	563379
102	14880	563019
103	15068	564497
104	15210	564224
105	15243	559966
106	15314	557187
107	15457	557027
108	15510	553699
109	15613	552140
110	15701	550130
111	15731	546104
112	15901	546981
113	15990	545068
114	16043	541992
115	16073	538175
116	16121	535044
117	16175	532150
118	16224	529147
119	16253	525530
120	16396	525624
121	16579	527018
122	16758	528228
123	16981	530818
124	17071	529227
125	17180	528237
126	17214	524974
127	17268	522371
128	17325	519905
129	17545	522322
130	17657	521516
131	17819	522166
132	18025	524096
133	18200	525109
134	18238	522167
135	18415	523221
136	18476	520971
137	18617	521009
138	18740	520568
139	19135	527579
140	19331	529067
141	19506	529980
142	19561	527610
143	19711	527832
144	19913	529421
145	19958	526847
146	20162	528470
147	20383	530519
148	20527	530554
149	20709	531554
150	20776	529588
151	20808	526785
152	20862	524550
153	20893	521792
154	20926	519107
155	21072	519250
156	21231	519703
157	21320	518440
158	21479	518892
159	21569	517662
160	21604	515155
161	21743	515130
162	21782	512754
163	21839	510821
164	22044	512375
165	22185	512414
166	22255	510814
167	22336	509487
168	22500	510058
169	22721	511909
170	22919	513209
171	22981	511481
172	23010	509023
173	23190	509917
174	23379	511003
175	23416	508780
176	23496	507498
177	23531	505265
178	23669	505260
179	23709	503172
180	23760	501330
181	23839	500110
182	23892	498348
183	23992	497582
184	24048	495922
185	24078	493728
186	24149	492419
187	24225	491216
188	24285	489683
189	24342	488121
190	24453	487669
191	24508	486088
192	24560	484469
193	24619	482993
194	24734	482639
195	24790	481145
196	24964	481935
197	25106	482090
198	25171	480783
199	25342	481509
200	25531	482553
201	25647	482223
202	25709	480885
203	25895	481856
204	26087	482943
205	26133	481309
206	26183	479783
207	26235	478301
208	26265	476419
209	26435	477090
210	26576	477251
211	26751	477997
212	26802	476526
213	26911	476112
214	27001	475353
215	27036	473632
216	27065	471831
217	27123	470552
218	27239	470288
219	27277	468679
220	27374	468084
221	27529	468489
222	27586	467231
223	27634	465839
224	27668	464219
225	27848	465048
226	28026	465834
227	28087	464682
228	28162	463760
229	28315	464134
230	28490	464858
231	28671	465662
232	28762	465018
233	28933	465652
234	28974	464209
235	29040	463165
236	29114	462273
237	29220	461875
238	29314	461310
239	29431	461094
240	29466	459603
241	29494	458025
242	29601	457670
243	29768	458246
244	29838	457318
245	30014	458022
246	30188	458699
247	30293	458309
248	30348	457185
249	30378	455675
250	30477	455219
251	30512	453818
252	30621	453516
253	30678	452443
254	30770	451902
255	30824	450813
256	30857	449416
257	31026	450003
258	31122	449533
259	31263	449718
260	31372	449439
261	31507	449522
262	31705	450503
263	31875	451089
264	31964	450512
265	32130	451028
266	32194	450125
267	32301	449813
268	32424	449717
269	32479	448698
270	32553	447939
271	32629	447216
272	32662	445905
273	32689	444535
274	32720	443212
275	32801	442588
276	32884	441988
277	33000	441830
278	33200	442787
279	33288	442255
280	33348	441359
281	33459	441137
282	33645	441905
283	33769	441852
284	33879	441621
285	33964	441063
286	33997	439830
287	34044	438791
288	34216	439371
289	34331	439209
290	34428	438812
291	34617	439594
292	34715	439212
293	34857	439393
294	34921	438595
295	34957	437437
296	35116	437837
297	35291	438414
298	35379	437920
299	35549	438438
300	35738	439197
301	35783	438168
302	35842	437323
303	35920	436720
304	36031	436516
305	36209	437122
306	36277	436392
307	36357	435823
308	36408	434897
309	36459	433988
310	36518	433173
311	36598	432618
312	36631	431504
313	36803	432035
314	36870	431327
315	37040	431822
316	37151	431637
317	37231	431086
318	37337	430839
319	37416	430287
320	37529	430122
321	37711	430752
322	37843	430809
323	37932	430369
324	37985	429531
325	38066	429006
326	38100	427960
327	38148	427079
328	38242	426713
329	38387	426910
330	38553	427350
331	38718	427767
332	38782	427069
333	38913	427113
334	39022	426915
335	39134	426754
336	39181	425875
337	39348	426318
338	39415	425666
339	39519	425413
340	39577	424672
341	39731	424967
342	39845	424823
343	39954	424636
344	40050	424298
345	40103	423520
346	40213	423347
347	40271	422624
348	40306	421661
349	40382	421128
350	40508	421125
351	40602	420788
352	40685	420338
353	40719	419387
354	40767	418582
355	40845	418092
356	40878	417147
357	40954	416639
358	41040	416237
359	41212	416704
360	41254	415858
361	41284	414895
362	41464	415448
363	41510	414647
364	41582	414119
365	41635	413396
366	41689	412691
367	41747	412033
368	41781	411138
369	41856	410641
370	41980	410643
371	42018	409794
372	42145	409812
373	42201	409148
374	42374	409623
375	42527	409897
376	42590	409298
377	42714	409291
378	42916	410032
379	43084	410435
380	43197	410321
381	43255	409686
382	43288	408813
383	43319	407929
384	43376	407292
385	43412	406459
386	43466	405798
387	43541	405342
388	43574	404494
389	43746	404939
390	43940	405575
391	44027	405233
392	44137	405097
393	44196	404503
394	44334	404626
395	44397	404059
396	44566	404469
397	44638	403990
398	44821	404515
399	44866	403798
400	44987	403769
401	45031	403041
402	45114	402672
403	45312	403325
404	45369	402724
405	45402	401913
406	45437	401126
407	45471	400331
408	45663	400923
409	45732	400437
410	45856	400432
411	45892	399663
412	45976	399314
413	46010	398532
414	46093	398178
415	46132	397452
416	46264	397518
417	46304	396801
418	46334	395999
419	46493	396305
420	46536	395613
421	46565	394816
422	46735	395205
423	46777	394517
424	46855	394141
425	47027	394544
426	47131	394381
427	47402	395609
428	47620	396393
429	47704	396058
430	47775	395616
431	47882	395475
432	48077	396059
433	48326	397078
434	48373	396437
435	48403	395664
436	48590	396173
437	48640	395564
438	48816	395981
439	49026	396670
440	49095	396216
441	49224	396245
442	49422	396828
443	49613	397355
444	49751	397451
445	50014	398546
446	50096	398198
447	50377	399421
448	50477	399211
449	50730	400206
450	50828	399977
451	50952	399950
452	51009	399405
453	51138	399417
454	51184	398790
455	51370	399249
456	51562	399753
457	51658	399508
458	51744	399185
459	51785	398526
460	51851	398052
461	51899	397443
462	52026	397445
463	52087	396939
464	52120	396227
465	52221	396028
466	52633	398185
467	52867	398991
468	53110	399857
469	53212	399663
470	53331	399587
471	53371	398926
472	53438	398471
473	53546	398324
474	53606	397817
475	53640	397121
476	53717	396743
477	53805	396449
478	53864	395944
479	53945	395602
480	53981	394929
481	54173	395402
482	54305	395430
483	54348	394809
484	54424	394433
485	54619	394924
486	54677	394418
487	54880	394957
488	54928	394385
489	55100	394696
490	55168	394267
491	55229	393787
492	55264	393131
493	55324	392645
494	55432	392507
495	55610	392864
496	55680	392450
497	55762	392128
498	55796	391472
499	55846	390928
500	55920	390551
501	56017	390334
502	56059	389742
503	56144	389444
504	56184	388837
505	56215	388176
506	56361	388303
507	56624	389239
508	56672	388693
509	56706	388048
510	56741	387416
511	56775	386783
512	56811	386164
513	56907	385954
514	57097	386380
515	57226	386391
516	57370	386504
517	57410	385911
518	57518	385784
519	57623	385635
520	57674	385125
521	57862	385526
522	57942	385215
523	57982	384629
524	58105	384601
525	58329	385241
526	58379	384730
527	58518	384805
528	58588	384426
529	58676	384166
530	58860	384534
531	59086	385175
532	59211	385153
533	59441	385811
534	59522	385506
535	59639	385431
536	59760	385380
537	59948	385765
538	59994	385235
539	60154	385435
540	60339	385796
541	60538	386237
542	60753	386783
543	60952	387227
544	61119	387465
545	61166	386938
546	61199	386329
547	61411	386844
548	61608	387268
549	61795	387625
550	61870	387282
551	62013	387360
552	62199	387705
553	62351	387839
554	62465	387736
555	62550	387452
556	62687	387492
557	62811	387452
558	62856	386919
559	62915	386480
560	63031	386390
561	63173	386457
562	63357	386783
563	63400	386246
564	63436	385669
565	63493	385225
566	63692	385635
567	63820	385622
568	64038	386144
569	64174	386170
570	64315	386228
571	64532	386741
572	64625	386512
573	64778	386637
574	64838	386213
575	64965	386184
576	65012	385681
577	65069	385240
578	65107	384686
579	65161	384225
580	65197	383668
581	65341	383742
582	65552	384209
583	65747	384579
584	65942	384945
585	66066	384897
586	66104	384349
587	66137	383774
588	66284	383862
589	66324	383333
590	66357	382761
591	66470	382656
592	66581	382534
593	66802	383046
594	66965	383220
595	67085	383154
596	67267	383435
597	67411	383502
598	67599	383817
599	67668	383452
600	67884	383927
601	68025	383972
602	68283	384676
603	68327	384173
604	68357	383595
605	68541	383880
606	68744	384265
607	68792	383790
608	68985	384121
609	69206	384609
610	69392	384895
611	69438	384407
612	69628	384719
613	69818	385022
614	70006	385318
615	70119	385201
616	70177	384782
617	70367	385085
618	70545	385319
619	70586	384808
620	70733	384878
621	70773	384363
622	70950	384591
623	71145	384915
624	71193	384443
625	71559	385691
626	72550	390293
627	72814	390973
628	73060	391552
629	73287	392029
630	73483	392337
631	73713	392829
632	73853	392837
633	74043	393107
634	74216	393286
635	74422	393640
636	74617	393940
637	74770	394011
638	74838	393634
639	74875	393098
640	75048	393273
641	75091	392769
642	75123	392206
643	75299	392397
644	75390	392149
645	75635	392696
646	76081	394282
647	76520	395830
648	76670	395876
649	76884	396248
650	77105	396659
651	77329	397086
652	77522	397349
653	77731	397688
654	77978	398226
655	78213	398700
656	78637	400128
657	78855	400507
658	79102	401035
659	79529	402465
660	79794	403076
661	80134	404062
662	80350	404416
663	80611	404998
664	80853	405481
665	81077	405875
666	81355	406535
667	81690	407474
668	81895	407765
669	82126	408181
670	82373	408673
671	82620	409169
672	82868	409664
673	83005	409606
674	83223	409954
675	83447	410324
676	83646	410571
677	83829	410738
678	84034	411012
679	84274	411456
680	84507	411864
681	84747	412306
682	84989	412753
683	85229	413187
684	85440	413481
685	85668	413854
686	85888	414190
687	86111	414536
688	86426	415323
689	86663	415733
690	86912	416196
691	87148	416598
692	87373	416948
693	87591	417260
694	87844	417734
695	88117	418305
696	88330	418589
697	88544	418875
698	88775	419237
699	89083	419965
700	89303	420275
701	89534	420632
702	89826	421278
703	90087	421774
704	90340	422230
705	90585	422646
706	90816	422995
707	91054	423379
708	91261	423614
709	91460	423810
710	91663	424024
711	91859	424204
712	92077	424484
713	92259	424602
714	92471	424851
715	92694	425151
716	92922	425472
717	93139	425742
718	93334	425911
719	93531	426086
720	93722	426236
721	93908	426360
722	94102	426520
723	94302	426704
724	94504	426901
725	94741	427251
726	94959	427511
727	95173	427758
728	95396	428041
729	95621	428330
730	95825	428528
731	96017	428669
732	96215	428835
733	96417	429020
734	96627	429235
735	96853	429522
736	97054	429698
737	97247	429839
738	97434	429951
739	97653	430203
740	97894	430548
741	98081	430660
742	98273	430791
743	98471	430943
744	98677	431135
745	98891	431357
746	99100	431558
747	99316	431786
748	99526	431989
749	99715	432102
