Feature,Importance
discharge_disposition_id,15.20614554700131
number_inpatient,10.22295118094721
diag_1,6.7716293176070135
total_previous_visits,4.965737989116969
num_medications,4.489374048200231
diag_2,3.8758868246993208
num_lab_procedures,3.684577863458426
diag1_group,3.6558745448875793
time_in_hospital,3.421411637254412
diag_3,3.4024421773327718
number_diagnoses,2.488023776098448
age_numeric,2.274986395489146
diag2_group,2.2382718203830207
diabetes_med_count,2.1975631887501286
num_procedures,1.810807014658593
age,1.781895683716693
number_outpatient,1.6982845188166553
admission_type_id,1.6894338572871614
diag3_group,1.6443328545136133
admission_source_id,1.548997177368072
A1Cresult,1.4748079582558709
pioglitazone,1.427750803040884
insulin,1.3682583071597882
race,1.3225745820461592
glipizide,1.3069615525633804
diabetesMed,1.0953069102319755
nateglinide,0.8212760574389074
glyburide-metformin,0.7977047459403879
metformin,0.7917355629238245
rosiglitazone,0.7826974613543545
gender,0.7531979993855366
glimepiride,0.7086935969717187
glyburide,0.6673189811264783
has_heart_failure,0.6474415450384665
acarbose,0.6403682181990564
number_emergency,0.5849039534627269
repaglinide,0.5843514779822763
max_glu_serum,0.5271766654612516
has_diabetes_complication,0.5245581925600973
elderly_patient,0.4835785422778407
miglitol,0.45023169447260725
tolazamide,0.41832614566155035
high_risk_discharge,0.41295191458569724
high_comorbidity,0.35165500078419837
chlorpropamide,0.3452342372611266
frequent_hospital_user,0.3275885934262386
has_emergency_visit,0.25926649208782737
uses_insulin,0.24766883670048995
has_hypertension,0.23229201115637108
long_hospital_stay,0.18946768107009912
insulin_plus_oral_med,0.16438816326888855
change,0.07572507031723609
many_diabetes_medications,0.05805065688825252
medication_changed,0.056437113702296066
tolbutamide,0.012231804802832518
troglitazone,0.006208849021641093
has_kidney_disease,0.005597389703266451
glipizide-metformin,0.004698005045067791
has_cancer,0.002515250984033608
metformin-rosiglitazone,0.0001540387474781896
acetohexamide,1.3265775673749096e-05
metformin-pioglitazone,7.253529404973594e-06
citoglipton,0.0
glimepiride-pioglitazone,0.0
examide,0.0
